名称,名称(英語),カテゴリ,カテゴリ補足,ジャンル,ジャンル,ジャンル,ジャンル,季節,場所,郵便番号,都道府県名,市区町村名,行政区名,住所,住所(かな),緯度,経度,説明(日本語),説明(英語),電話番号,FAX番号,営業時間,開所時刻,閉所時刻,定休日,利用料金,画像URL,画像URL,画像URL,サムネイル画像URL,ホームページアドレス,創設日,創設者,所在地（基本、名称と同じもの）,名称(中国語簡体字),説明(中国語簡体字),名称(中国語繁体字),説明(中国語繁体字),名称(韓国語),説明(韓国語),名称(ポルトガル語),説明(ポルトガル語),標準地域コード
弁天橋,"",百景,水辺,観る,"","","",春,吉江町,"","","","","","",35.989184,136.171272,鯖江市北部を東西に流れる浅水川の改修により架け替えられた橋で、朱色の高欄が美しい。また、近松門左衛門が住んでいたことをモチーフに高欄が造られています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No32.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No32.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
カンナ街道,"",百景,里山農村,観る,"","","",夏,冬島町,"","","","","","",35.954917,136.152263,鯖江市吉川地区の中心で、冬島町諭手川沿いに約300ｍにわたりカンナが植えられており、田園の中で7月頃から初冬までの花は見事であり、心が和みます。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No33.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No33.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
王山前鯖江高校通学路桜並木,"",百景,まち,観る,"","","",春,舟津町２丁目ほか,"","","","","","",35.939014,136.18387,毎年4月にみられる、福井県立鯖江高校から王山古墳公園へと続く桜のトンネルはとても見事で、また、散り行くときの桜吹雪もなんとも感慨深いものがあります。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No34.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No34.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
三里山,"",百景,里山農村,観る,"","","",春,中野町ほか,"","","","","","",35.937776,136.225458,鯖江市内どこからでも眺められ、四季を通じて春の新緑、秋の紅葉と様々な変化のある姿を見せてくれます。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No35.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No35.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
大谷公園の溜池,"",百景,水辺,観る,"","","",春,吉江町,"","","","","","",35.997274,136.177157,2つの貯水池があり、その池に挟まれた部分の桜の木も立派になり、春になると池の水の色と桜の花のピンクがとてもきれいです。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No36.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No36.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
カネボウ東側桜並木,"",百景,まち,観る,"","","",春,上河端町,"","","","","","",35.959802,136.193304,工場敷地進入路の桜並木で春の満開の時は、とてもきれいであり、ハピラインふくい線の車窓からはまた一段ときれいにみられます。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No37.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No37.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
立待忠霊場周辺,"",百景,歴史文化,観る,"","","",夏,糺町,"","","","","","",35.979205,136.1757,素朴で質素な忠霊場であり、南接する自然林的北部第3公園とあわせ閑静で隠れた名所で心が和むところです。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No38.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No38.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
横越本山證誠寺,"",百景,歴史文化,観る,"","","",夏,横越町　本山證誠寺,"","","","","","",35.945811,136.203598,浄土真宗で十派あるひとつの本山であり、境内では静寂で心が和み、また県道沿いの土壁は重厚感と歴史が感じられます。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No39.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No39.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
済美の松,"",百景,まち,観る,"","","",夏,日の出町　惜陰小学校内,"","","","","","",35.942458,136.186603,明治32年、現在地に校舎移転新築と大正天皇のご成婚を記念して植えられた松で、100年余を経た現在、優美な中にも松特有の貫禄を示し見る人を楽しませています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No40.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No40.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
春日神社,"",百景,歴史文化,観る,"","","",夏,鳥井町　春日神社,"","","","","","",35.944456,136.167699,本殿が室町時代の様式で国指定文化財と狛犬は鯖江市指定文化財に指定されています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No41.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No41.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
西光寺,"",百景,歴史文化,観る,"","","",秋,杉本町　西光寺,"","","","","","",35.982717,136.170424,西光寺表門は吉江藩藩邸の表門であったものを廃藩後移設したもので風格があり、境内は広く静かで心落ち着くところです。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No42.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No42.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
中野神社,"",百景,歴史文化,観る,"","","",夏,中野町（花出)　中野神社,"","","","","","",35.946505,136.213812,鯖江市中野区の総社で三里山の中の杉林の参道や苔むした石畳階段は荘厳で、朱の鳥居や社の建築装飾も見事です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No43.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No43.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
日吉神社,"",百景,歴史文化,観る,"","","",秋,上野田町　日吉神社,"","","","","","",35.941832,136.149353,境内の相生の大杉や池がすばらしく、鎮守の森として荘厳な雰囲気があります。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No44.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No44.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
白山神社,"",百景,歴史文化,観る,"","","",秋,戸口町白山神社,"","","","","","",35.952655,136.248632,鯖江市北中山地区の高台にあり、北中山小学校を中心とする地区が一望でき、境内は荘厳で厳粛な景観です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No45.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No45.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
植田家長屋門,"",百景,歴史文化,観る,"","","",春,旭町１丁目,"","","","","","",35.952655,136.248632,鯖江藩家老の住居で1731年頃建築され、歴史を感じさせる素晴らしい建物です。建物前道路は石畳舗装で整備されるなど街並み景観保存に努めています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No46.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No46.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
恵美写真館洋館　表門,"",百景,歴史文化,観る,"","","",春,本町３丁目,"","","","","","",35.946549,136.186237,洋館および表門は擬洋風建築物として明治38年に建築され歴史的で、ともに質が高く風情が感じられる建物です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No47.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No47.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
萬慶寺,"",百景,歴史文化,観る,"","","",夏,深江町　萬慶寺,"","","","","","",35.94178,136.184986,1847年建築の鯖江市指定文化財で、飾り気がなく禅宗様のまとまりがあり、質素な中にも重厚さを感じさせます。珍しい2階建て楼門形式の門の１つとして貴重な建物です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No48.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No48.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
殿上まいり,"",百景,まつり活動,観る,"","","",冬,尾花町,"","","","","","",35.965125,136.311431,鯖江市河和田地区尾花町に伝わる奇祭。毎年2月、地区住民が殿上山を登り、神社前の御神木にしめ縄をかけ、厄年の男を胴上げし放り投げ厄払いをし、無病息災を願います。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No49.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No49.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
やっしきおどり,"",百景,まつり活動,観る,"","","",夏,本町（歴史の道）,"","","","","","",35.948503,136.185512,鯖江市に古くから残る伝統的な踊りで、「やんしき」とも言います。毎年8月に、本町通りにて「やっしきまつり」が開催され、多くの市民が集い、踊りを繰り広げています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No50.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No50.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
歴史の道,"",百景,歴史文化,観る,"","","",秋,"","","","","","","",35.980833,136.186574,旧北陸道（歴史の道）沿いに建ち並ぶ民家と蔵、そして庭先から道に張り出した青々とした松が、旧北陸道を中心に栄えた鯖江の歴史的な情緒が感じられます。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No51.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No51.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
小黒町信仰の道「三十三間堂」,"",百景,歴史文化,観る,"","","",秋,"","","","","","","",35.950996,136.180888,この登山道は、江戸時代の中、後期にかけて沿道に三十三体の観音像が並べられ、「三十三間堂」として庶民に崇められていたといわれています。また、西山公園の遊歩道へ続く道です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No52.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No52.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
琵琶神社,"",百景,歴史文化,観る,"","","",春,神明町,"","","","","","",35.978888,136.183269,街中にひっそりと佇む琵琶神社。桜の頃になると満開の桜が境内の両側に咲き誇り、脇を通る福井鉄道の電車とのコラボレーションも見事です。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No53.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No53.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
大谷公園展望台,"",百景,まち,観る,"","","",秋,吉江町,"","","","","","",35.993169,136.176446,実のなる公園として整備された大谷公園。展望台から見た景色は、公園全体だけでなく、立待、吉川地区の風景も楽しむことができます。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No54.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No54.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
榎お清水,"",百景,歴史文化,観る,"","","",秋,西番町,"","","","","","",35.98941,136.177551,吉江藩のお泉水「えのきお清水」は、近松が仲間とともに水遊びに興じたと伝えられており、春慶寺山麓にあります。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No55.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No55.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
河和田中道通り,"",百景,歴史文化,観る,"","","",夏,河和田町,"","","","","","",35.951973,136.271699,中道通り沿いには、景観を意識した整備がなされており、おもむきある民家や蔵、塀等が一体となった景観となっており、どこか懐かしさを感じさせてくれます。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No56.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No56.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
うるしの里会館,"",百景,歴史文化,観る,"","","",秋,西袋町,"","","","","","",35.953033,136.2738,回廊式の建物となっており、施設が周辺の景観とマッチしています。また、施設の中では越前漆器の歴史と技術を紹介・発信する施設となっています。,"","","","","","","","",https://www.city.sabae.fukui.jp/ls/imagelarge/No57.jpg,"","",https://www.city.sabae.fukui.jp/ls/image/No57.jpg,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
